datetime,symbol,open,high,low,close,volume
2020-05-03 19:00:00,BINANCE:BUSDUSDT,0.9991,0.9996,0.9984,0.9987,37873295.17000002
2020-05-04 19:00:00,BINANCE:BUSDUSDT,0.9987,0.9996,0.9986,0.9995,29658967.59000001
2020-05-05 19:00:00,BINANCE:BUSDUSDT,0.9995,0.9996,0.9984,0.999,35135234.68000004
2020-05-06 19:00:00,BINANCE:BUSDUSDT,0.999,0.9995,0.9984,0.9986,39086658.96999998
2020-05-07 19:00:00,BINANCE:BUSDUSDT,0.9986,0.9992,0.9984,0.9991,39375158.54000004
2020-05-08 19:00:00,BINANCE:BUSDUSDT,0.9991,1.0003,0.9991,1.0001,35445749.12
2020-05-09 19:00:00,BINANCE:BUSDUSDT,1.0001,1.0022,0.9988,0.9996,66511173.08000001
2020-05-10 19:00:00,BINANCE:BUSDUSDT,0.9996,0.9998,0.9987,0.9994,36412595.99000005
2020-05-11 19:00:00,BINANCE:BUSDUSDT,0.9994,1.0,0.9992,0.9993,23856824.68999998
2020-05-12 19:00:00,BINANCE:BUSDUSDT,0.9993,0.9998,0.9987,0.999,21923671.27000002
2020-05-13 19:00:00,BINANCE:BUSDUSDT,0.9991,1.0001,0.9988,0.9997,35568479.69000004
2020-05-14 19:00:00,BINANCE:BUSDUSDT,0.9996,1.0015,0.9996,1.0009,31362242.16
2020-05-15 19:00:00,BINANCE:BUSDUSDT,1.001,1.001,1.0,1.0002,25745655.11999999
2020-05-16 19:00:00,BINANCE:BUSDUSDT,1.0001,1.0006,0.9997,1.0003,29431416.59000004
2020-05-17 19:00:00,BINANCE:BUSDUSDT,1.0003,1.0016,1.0,1.0007,43007732.72000002
2020-05-18 19:00:00,BINANCE:BUSDUSDT,1.0007,1.0014,1.0,1.0001,47438802.05999998
2020-05-19 19:00:00,BINANCE:BUSDUSDT,1.0,1.0014,1.0,1.0006,58007168.07000005
2020-05-20 19:00:00,BINANCE:BUSDUSDT,1.0007,1.0021,1.0004,1.001,69235428.54999992
2020-05-21 19:00:00,BINANCE:BUSDUSDT,1.0009,1.0021,0.9999,1.0001,34161480.64999997
2020-05-22 19:00:00,BINANCE:BUSDUSDT,1.0001,1.0003,0.9996,1.0,22169632.29999998
2020-05-23 19:00:00,BINANCE:BUSDUSDT,1.0,1.0007,0.9994,1.0007,29929635.63000001
2020-05-24 19:00:00,BINANCE:BUSDUSDT,1.0007,1.0007,0.9999,1.0003,24937694.39
2020-05-25 19:00:00,BINANCE:BUSDUSDT,1.0003,1.0007,1.0001,1.0003,25217147.28000001
2020-05-26 19:00:00,BINANCE:BUSDUSDT,1.0003,1.0006,0.9997,1.0002,29641475.22
2020-05-27 19:00:00,BINANCE:BUSDUSDT,1.0002,1.0004,0.9993,0.9996,35549511.85000006
2020-05-28 19:00:00,BINANCE:BUSDUSDT,0.9997,1.0008,0.9996,1.0005,33619305.70000007
2020-05-29 19:00:00,BINANCE:BUSDUSDT,1.0006,1.0007,0.9996,1.0,32576122.37999999
2020-05-30 19:00:00,BINANCE:BUSDUSDT,1.0,1.0009,0.9997,1.0007,33145423.61000002
2020-05-31 19:00:00,BINANCE:BUSDUSDT,1.0007,1.0009,0.9972,0.9989,40947047.91999998
