,symbol,open,high,low,close,volume
2020-12-23,COINBASE:UNIUSD,3.3095,3.5254,3.1615,3.5215,2306.3959
2020-12-24,COINBASE:UNIUSD,3.526,3.6461,3.373,3.4976,1268.6718
2020-12-25,COINBASE:UNIUSD,3.5006,3.5979,3.3548,3.4166,1022.0676
2020-12-26,COINBASE:UNIUSD,3.4172,3.7948,3.3516,3.593,2640.3432
2020-12-27,COINBASE:UNIUSD,3.5947,3.941,3.5664,3.7294,2482.9214
2020-12-28,COINBASE:UNIUSD,3.7334,3.8338,3.494,3.6786,2376.4283
2020-12-29,COINBASE:UNIUSD,3.6745,4.3826,3.6295,4.1497,5829.8898
2020-12-30,COINBASE:UNIUSD,4.1524,5.3139,3.94,5.162,10863.1638
2020-12-31,COINBASE:UNIUSD,5.157,5.2813,4.6207,4.7478,5919.806
2021-01-01,COINBASE:UNIUSD,4.743,5.1873,4.4937,4.856,6949.1701
2021-01-02,COINBASE:UNIUSD,4.8535,5.65,4.6801,5.5241,7510.4458
2021-01-03,COINBASE:UNIUSD,5.53,6.2375,4.881,5.4248,8693.6601
2021-01-04,COINBASE:UNIUSD,5.4252,6.5824,5.2001,6.2715,6619.9842
2021-01-05,COINBASE:UNIUSD,6.2725,6.616,6.0201,6.437,4224.6851
2021-01-06,COINBASE:UNIUSD,6.4419,6.8341,6.02,6.2745,3893.1831
2021-01-07,COINBASE:UNIUSD,6.2818,6.3735,5.4802,5.8751,4076.163
2021-01-08,COINBASE:UNIUSD,5.8754,6.371,5.67,6.2453,2852.4217
2021-01-09,COINBASE:UNIUSD,6.2453,6.5929,5.5028,5.9887,3577.9278
2021-01-10,COINBASE:UNIUSD,5.9988,5.9988,4.3542,5.2521,6836.6606
2021-01-11,COINBASE:UNIUSD,5.2497,5.8141,4.9601,5.5909,2711.7503
2021-01-12,COINBASE:UNIUSD,5.5956,6.3799,5.2616,6.3398,2593.1613
2021-01-13,COINBASE:UNIUSD,6.3402,7.1265,6.1799,6.9473,4346.555
2021-01-14,COINBASE:UNIUSD,6.9418,7.4667,6.3706,7.365,5392.3837
2021-01-15,COINBASE:UNIUSD,7.3748,9.3595,7.188,8.3963,7177.6624
