,symbol,open,high,low,close,volume
2020-06-23,COINBASE:LTCUSD,44.16,44.6,42.0,42.57,120.4323
2020-06-24,COINBASE:LTCUSD,42.57,42.96,41.61,42.31,98.7879
2020-06-25,COINBASE:LTCUSD,42.31,43.55,41.3,43.06,105.0975
2020-06-26,COINBASE:LTCUSD,43.07,43.07,39.18,41.04,139.8515
2020-06-27,COINBASE:LTCUSD,41.03,42.04,40.4,41.32,76.5502
2020-06-28,COINBASE:LTCUSD,41.34,42.24,40.57,41.87,138.4715
2020-06-29,COINBASE:LTCUSD,41.88,42.06,40.73,41.16,87.7257
2020-06-30,COINBASE:LTCUSD,41.15,42.02,40.96,41.8,90.0403
2020-07-01,COINBASE:LTCUSD,41.8,41.91,40.32,41.08,92.5909
2020-07-02,COINBASE:LTCUSD,41.07,41.69,40.9,41.17,59.8516
2020-07-03,COINBASE:LTCUSD,41.15,42.25,41.08,42.15,69.558
2020-07-04,COINBASE:LTCUSD,42.14,42.22,40.75,41.59,48.6021
2020-07-05,COINBASE:LTCUSD,41.59,44.28,41.53,44.03,123.3716
2020-07-06,COINBASE:LTCUSD,44.05,44.46,42.84,43.37,96.5888
2020-07-07,COINBASE:LTCUSD,43.39,45.63,43.11,45.4,194.1831
2020-07-08,COINBASE:LTCUSD,45.39,45.86,43.54,44.35,143.4441
2020-07-09,COINBASE:LTCUSD,44.33,44.55,43.44,44.32,59.561
2020-07-10,COINBASE:LTCUSD,44.33,44.75,43.88,44.74,54.3698
2020-07-11,COINBASE:LTCUSD,44.74,45.24,43.76,44.71,88.2987
2020-07-12,COINBASE:LTCUSD,44.76,45.55,42.62,43.88,197.3186
2020-07-13,COINBASE:LTCUSD,43.84,44.0,42.89,43.88,97.5248
2020-07-14,COINBASE:LTCUSD,43.87,44.0,42.84,43.3,94.2708
2020-07-15,COINBASE:LTCUSD,43.29,43.44,40.86,42.08,176.4555
2020-07-16,COINBASE:LTCUSD,42.07,42.46,41.67,41.89,70.4953
2020-07-17,COINBASE:LTCUSD,41.87,42.91,41.75,42.47,66.9468
2020-07-18,COINBASE:LTCUSD,42.45,42.92,41.88,42.65,45.0687
2020-07-19,COINBASE:LTCUSD,42.69,42.84,41.45,41.97,63.463
2020-07-20,COINBASE:LTCUSD,41.93,44.1,41.89,43.83,143.8368
2020-07-21,COINBASE:LTCUSD,43.78,45.17,43.22,45.02,103.0941
2020-07-22,COINBASE:LTCUSD,45.06,45.75,44.55,44.98,159.5551
2020-07-23,COINBASE:LTCUSD,44.96,45.02,44.0,44.16,83.9618
2020-07-24,COINBASE:LTCUSD,44.18,49.64,44.09,49.23,417.7797
2020-07-25,COINBASE:LTCUSD,49.23,50.79,47.64,48.14,250.1629
2020-07-26,COINBASE:LTCUSD,48.13,56.27,46.93,53.38,687.117
2020-07-27,COINBASE:LTCUSD,53.39,57.99,51.71,55.86,565.2186
2020-07-28,COINBASE:LTCUSD,55.86,56.99,54.77,55.2,256.965
2020-07-29,COINBASE:LTCUSD,55.2,59.14,53.92,56.82,311.1506
2020-07-30,COINBASE:LTCUSD,56.84,59.22,55.85,58.23,215.0411
2020-07-31,COINBASE:LTCUSD,58.21,62.36,57.64,61.72,393.364
2020-08-01,COINBASE:LTCUSD,61.72,65.31,52.7,56.77,643.1799
2020-08-02,COINBASE:LTCUSD,56.8,60.1,55.72,58.54,268.8013
2020-08-03,COINBASE:LTCUSD,58.55,59.6,56.33,57.65,183.7548
2020-08-04,COINBASE:LTCUSD,57.65,59.92,56.73,58.97,207.5768
2020-08-05,COINBASE:LTCUSD,58.94,60.78,57.78,59.08,206.9424
2020-08-06,COINBASE:LTCUSD,59.08,61.1,54.76,57.23,282.1092
2020-08-07,COINBASE:LTCUSD,57.25,58.61,56.51,58.46,119.0006
2020-08-08,COINBASE:LTCUSD,58.46,58.72,56.1,56.97,118.7093
2020-08-09,COINBASE:LTCUSD,57.01,59.49,56.57,58.28,187.9433
