,mean,median,min,max
38,3.292263510152989e+127,5.1401294579078525e+120,-9.616180144851199e+129,5.15178183449156e+129
39,-1.7417816762792276e+129,2.0666746962654293e+122,-1.0566994936765918e+133,6.661588851010263e+132
40,-6.5598914828473855e+134,2.924046350311237e+126,-5.4680168895067e+136,2.2969617320431836e+136
41,3.836462325856507e+137,6.2141955449465546e+128,-5.545985024593325e+139,6.678942667517122e+139
42,1.616492793755803e+140,2.625247699470923e+131,-3.10527037832981e+143,4.051693870663702e+143
43,1.5653319949762415e+145,-5.520984542437881e+134,-5.414001307190502e+146,1.9470583135812965e+147
44,3.660573968204779e+148,5.675593620178288e+138,-4.03465830442489e+150,7.033705857858742e+150
45,1.0167666468715586e+152,1.8700687954177556e+142,-1.5010210359730845e+154,2.4016036964828053e+154
46,1.244689248150383e+155,9.092157854215598e+144,-1.1312118887095188e+156,1.214137064742857e+157
47,6.21786453131694e+158,1.8208911689715503e+147,-3.5410887473991214e+159,6.018561695418936e+160
48,1.484739012651696e+162,-6.37943621844849e+150,-9.4011186758579e+161,1.4147429289856908e+164
49,1.1645630504863822e+165,-6.5618124279430835e+153,-2.4705702148038905e+164,1.086281381095017e+167
50,4.360010680822679e+168,-1.530393211978658e+157,-2.8065703685322372e+169,4.663249086810116e+170
51,-8.710444911103375e+171,-1.7252698195702387e+161,-8.338624280122041e+173,1.0928642734634738e+170
52,2.326471265469582e+174,2.1288009541769932e+163,-7.738163928819614e+174,1.4471842438989627e+176
53,4.864775439539461e+176,1.9664932060620697e+168,-3.234716386386511e+178,6.598497880182972e+178
54,3.1894366558568405e+180,3.192693309883346e+167,-3.4201754938118845e+181,3.2693282059842626e+182
55,1.6853581404064718e+183,2.372917757229057e+173,-6.002560720554696e+184,3.110619526951925e+185
56,1.0021313841950619e+187,6.368208428892377e+175,-3.757408353006399e+187,6.990978184007717e+188
57,2.2776097126329506e+190,-1.5002012848104565e+179,-3.6153663977354944e+191,1.4968091315577973e+192
58,-1.4268944034567897e+194,3.471460278762968e+184,-1.2801377670377802e+196,2.6864970450837087e+194
59,-2.6292906577065457e+197,1.043689835851909e+186,-2.459084828360691e+199,1.133568016288006e+198
60,-6.738664254834663e+200,-9.158712898905258e+188,-6.995092683607081e+202,2.494255250036705e+201
61,-2.2127335791809541e+204,-1.0236242969204807e+189,-2.1690664268527363e+206,3.1915326275991397e+204
62,-7.877047606170806e+206,-1.861630429410377e+194,-1.006868489547221e+209,2.5001681481542303e+208
63,-3.345497859273742e+210,-2.142851737057655e+200,-3.571529092538032e+212,4.1880785954040477e+211
64,-3.163270025143012e+213,6.770013115449471e+198,-3.874685305412205e+215,9.171983244097104e+214
65,9.880714080962272e+216,1.045419220127015e+206,-1.0004510490724785e+218,1.0434971368414386e+219
66,3.345124483105678e+220,9.308477795888925e+210,-6.432625867786148e+219,2.2082626299085917e+222
67,1.4162646472743e+224,1.7432305281016303e+210,-1.7370103198964964e+225,1.3420914611217572e+226
68,-4.530330800925857e+225,-1.2673626493110602e+211,-1.199360344343714e+229,1.3198288224987e+229
69,1.730753043604909e+230,-4.092712233902271e+214,-2.4104757726890254e+232,4.180091606348533e+232
70,1.0653297665322341e+234,-2.3496347317035075e+218,-8.22860633245868e+233,8.523234473537775e+235
71,2.7784728394935347e+237,2.7355306850310975e+224,-6.651505597524896e+237,2.5376244491929597e+239
72,8.761629192470625e+240,7.645490538766373e+229,-5.299903187586834e+241,9.631627618615139e+242
73,-8.518606365807422e+243,5.39066178316563e+226,-1.1590897446268193e+246,3.2273602940492276e+245
74,1.9081891078616322e+247,1.7884766136744764e+234,-5.515612092651434e+248,2.8216442381862042e+249
75,-5.074808581389084e+250,7.064634887380552e+234,-3.240832893169638e+252,2.3096974514637093e+250
76,9.208059852877085e+253,1.2262762849031379e+243,-6.858364608529068e+254,7.13530720294799e+255
77,4.009060575084083e+257,1.1735255256478558e+244,-1.1755248782589894e+257,3.1544406451319904e+259
78,1.875744070288924e+261,1.5504929455928996e+249,-3.4639484103726676e+260,1.46740455528596e+263
79,5.9929811666306395e+264,-3.6121747541807097e+251,-1.6430455029252778e+266,8.855787004520602e+266
80,1.8515100462537898e+268,-1.5267783681329888e+253,-4.5799382439579766e+266,9.343809833893142e+269
81,1.6297136654506213e+271,-3.5158468254226134e+256,-8.328598354073268e+272,2.7104063747972637e+273
82,1.3910316354567615e+275,-1.738168048659674e+261,-8.618739949799607e+272,1.0531863561839884e+277
83,2.75761095793058e+278,9.653761612892654e+264,-3.961152757999754e+276,2.544942095282755e+280
84,-inf,-1.4430855298621883e+268,-inf,6.710174337672635e+280
85,,-1.342685123983421e+269,-inf,inf
86,,-4.589375838207489e+275,-inf,inf
87,,1.4822508588174368e+276,-inf,inf
88,,-5.965222265492072e+277,-inf,inf
89,,-inf,-inf,inf
90,,-inf,-inf,inf
91,,,-inf,inf
92,,,-inf,inf
93,,,-inf,inf
94,,,-inf,inf
95,,,-inf,inf
96,,,-inf,inf
97,,,-inf,inf
98,,,-inf,inf
99,,,-inf,inf
100,,,-inf,inf
101,,,-inf,inf
102,,,-inf,inf
103,,,-inf,inf
104,,,-inf,inf
105,,,-inf,inf
106,,,-inf,inf
107,,,-inf,inf
108,,,-inf,inf
109,,,-inf,inf
110,,,-inf,inf
111,,,-inf,inf
112,,,-inf,inf
113,,,-inf,inf
114,,,-inf,inf
115,,,-inf,inf
116,,,-inf,inf
117,,,-inf,inf
118,,,-inf,inf
119,,,-inf,inf
120,,,-inf,inf
121,,,-inf,inf
122,,,-inf,inf
123,,,-inf,inf
124,,,-inf,inf
125,,,-inf,inf
126,,,-inf,inf
